Linea;Billete de FGC/Integrados/Combinados;Tipo de billete;Billete;Zonas;Precio
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 2;0;459.8
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 4;0;367.55
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 6;0;807.9
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 2;0;100.6
Funicular de Gelida;Bitlllets de FGC;Senzill;Senzill - Adult;0;2.4
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 5;0;255.3
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TA;4;13.25
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 6;0;304.9
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TB;4;9.55
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual;Abonam. anual Grup 6;0;1894.5
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;1;8.6
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 3;0;537.25
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;1;9.1
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 5;0;754.7
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;2;9.6
Llobregat-Anoia;Bitllets de FGC;T-Regional;T-Regional Zona 2;2;11.7
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;3;11.2
Tren i Cremallera de Montserrat;Bitllets combinats;Trans Montserrat Pl.Espanya;Trans Montserrat Pl.Espanya;0;33.45
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;4;12.45
Totes;Bitllets integrats;T-casual;T-casual;4;39.2
Tren i Cremallera de Montserrat;Bitllets combinats;Tot Montserrat Pl.Espanya;Tot Montserrat Pl.Espanya;0;52.9
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;2;18.3
Totes;Bitllets integrats;T-casual;T-casual;5;45.05
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TA;1;9.9
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;5;26.2
Totes;Bitllets integrats;T-casual;T-casual;6;47.9
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TB;2;10.3
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TB;3;15.3
Totes;Bitllets integrats;T-usual;T-usual;2;53.85
